reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.01,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.025,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.05,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.1,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.15,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.2,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.25,9
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.3,263
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.35,498
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.4,721
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.45,937
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.5,1150
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.55,1362
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.6,1578
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.65,1801
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.7,2036
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.75,2290
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.8,2573
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.85,2902
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.9,3317
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.95,3931
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.975,4464
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.99,5084
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.01,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.025,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.05,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.1,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.15,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.2,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.25,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.3,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.35,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.4,341
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.45,783
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.5,1218
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.55,1653
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.6,2095
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.65,2552
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.7,3033
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.75,3552
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.8,4131
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.85,4805
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.9,5653
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.95,6911
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.975,8001
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.99,9269
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.01,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.025,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.05,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.1,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.15,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.2,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.25,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.3,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.35,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.4,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.45,592
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.5,1218
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.55,1844
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.6,2480
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.65,3138
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.7,3831
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.75,4579
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.8,5412
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.85,6383
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.9,7604
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.95,9414
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.975,10985
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.99,12810
